procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2654448  39864 785800    0    0     0     0 1194  294  1  1 48 50  0  0
 0  3      0 2654248  39864 785804    0    0     0     0 1272  363  1  1 49 50  0  0
 0  3      0 2654196  39864 785812    0    0     0     0 1188  300  0  1 49 50  0  0
 0  3      0 2654196  39872 785816    0    0     0    20 1293  328  0  1 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2654196  39872 785820    0    0     0     0 1190  311  1  1 48 50  0  0
 0  3      0 2654196  39872 785824    0    0     0     0 1198  310  0  1 49 50  0  0
 0  3      0 2654196  39872 785828    0    0     0     0 1248  303  1  1 49 50  0  0
 0  3      0 2654196  39872 785832    0    0     0     0 1277  323  0  1 49 50  0  0
 0  3      0 2654196  39880 785824    0    0     0    20 1264  304  0  1 49 50  0  0
 0  3      0 2654196  39880 785828    0    0     0     0 1255  303  1  1 49 50  0  0
 0  3      0 2654196  39880 785844    0    0     0     0 1207  294  0  1 49 50  0  0
 0  3      0 2654196  39880 785848    0    0     0     0 1314  463  1  1 49 50  0  0
 0  3      0 2654196  39880 785852    0    0     0     0 1244  317  1  1 49 50  0  0
 0  3      0 2654196  39888 785848    0    0     0    20 1253  330  0  1 49 51  0  0
 0  3      0 2654196  39888 785860    0    0     0     0 1313  311  0  1 49 50  0  0
 0  3      0 2654196  39888 785864    0    0     0     0 1272  308  1  1 49 50  0  0
 0  3      0 2654196  39888 785872    0    0     0     0 1243  296  0  1 49 50  0  0
 0  3      0 2654196  39888 785876    0    0     0     0 1229  294  0  1 49 50  0  0
 0  3      0 2654196  39896 785868    0    0     0    20 1260  333  1  1 49 50  0  0
 0  3      0 2654196  39896 785880    0    0     0     0 1258  296  0  1 49 50  0  0
 0  3      0 2654196  39896 785884    0    0     0     0 1189  304  1  1 49 50  0  0
 0  3      0 2654196  39896 785888    0    0     0     0 1330  346  1  1 48 50  0  0
 0  3      0 2653996  39896 785892    0    0     0     0 1270  318  0  1 49 50  0  0
 0  3      0 2653944  39904 785900    0    0     0   172 1198  324  0  1 49 51  0  0
 0  3      0 2653944  39904 785904    0    0     0     0 1197  334  0  1 49 50  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3      0 2653944  39904 785908    0    0     0     0 1224  339  1  1 48 50  0  0
 0  3      0 2653944  39912 785904    0    0     0    44 1269  357  0  1 49 50  0  0
 0  3      0 2653944  39912 785912    0    0     0     0 1219  300  1  1 49 50  0  0
 0  3      0 2653944  39912 785916    0    0     0     0 1207  327  0  1 49 51  0  0
 0  3      0 2653944  39912 785920    0    0     0    28 1229  300  1  1 49 50  0  0
 0  3      0 2653944  39912 785932    0    0     0     0 1223  294  0  1 49 50  0  0
